iter	Passed	Remaining
0	17	8513
1	33	8339
2	50	8340
3	67	8342
4	84	8343
5	100	8260
6	117	8301
7	133	8211
8	149	8161
9	169	8322
10	190	8474
11	209	8516
12	230	8624
13	252	8758
14	274	8889
15	301	9110
16	332	9443
17	355	9519
18	387	9799
19	418	10050
20	445	10151
21	469	10190
22	495	10266
23	521	10349
24	548	10421
25	576	10510
26	598	10482
27	622	10492
28	648	10526
29	673	10544
30	694	10504
31	721	10548
32	743	10522
33	764	10473
34	785	10429
35	813	10487
36	836	10471
37	863	10498
38	884	10453
39	906	10420
40	931	10427
41	949	10358
42	967	10281
43	985	10214
44	1003	10146
45	1025	10125
46	1043	10057
47	1062	10009
48	1081	9954
49	1105	9950
50	1127	9926
51	1145	9871
52	1164	9824
53	1183	9774
54	1206	9765
55	1227	9735
56	1246	9688
57	1267	9661
58	1287	9624
59	1308	9595
60	1333	9598
61	1362	9625
62	1389	9640
63	1415	9643
64	1441	9650
65	1466	9641
66	1488	9618
67	1517	9639
68	1537	9606
69	1556	9558
70	1572	9503
71	1591	9462
72	1609	9416
73	1630	9386
74	1654	9377
75	1682	9386
76	1707	9378
77	1728	9351
78	1747	9313
79	1770	9293
80	1792	9272
81	1811	9231
82	1832	9207
83	1854	9185
84	1873	9148
85	1894	9119
86	1920	9118
87	1938	9075
88	1961	9056
89	1987	9053
90	2005	9012
91	2024	8977
92	2044	8948
93	2062	8910
94	2081	8873
95	2102	8846
96	2121	8814
97	2146	8804
98	2169	8787
99	2191	8767
100	2213	8744
101	2240	8740
102	2261	8718
103	2283	8695
104	2311	8695
105	2333	8672
106	2358	8661
107	2382	8646
108	2409	8643
109	2432	8625
110	2453	8597
111	2478	8584
112	2507	8588
113	2537	8590
114	2560	8571
115	2581	8545
116	2608	8539
117	2636	8533
118	2665	8534
119	2691	8523
120	2714	8503
121	2743	8500
122	2774	8504
123	2801	8493
124	2835	8506
125	2864	8502
126	2888	8482
127	2907	8450
128	2927	8417
129	2946	8386
130	2967	8360
131	2988	8330
132	3006	8295
133	3032	8282
134	3052	8253
135	3073	8226
136	3094	8198
137	3116	8175
138	3136	8145
139	3154	8112
140	3173	8079
141	3193	8051
142	3215	8028
143	3234	7997
144	3257	7974
145	3277	7947
146	3300	7925
147	3322	7901
148	3346	7882
149	3369	7861
150	3394	7844
151	3418	7826
152	3437	7796
153	3456	7765
154	3478	7741
155	3501	7721
156	3523	7697
157	3548	7680
158	3570	7657
159	3605	7661
160	3622	7627
161	3642	7599
162	3665	7579
163	3687	7555
164	3704	7522
165	3727	7500
166	3753	7484
167	3782	7474
168	3804	7450
169	3829	7434
170	3859	7425
171	3887	7413
172	3921	7412
173	3950	7401
174	3981	7394
175	4011	7384
176	4035	7365
177	4061	7346
178	4090	7335
179	4115	7316
180	4145	7305
181	4165	7278
182	4186	7251
183	4208	7226
184	4226	7196
185	4244	7165
186	4262	7133
187	4281	7105
188	4306	7087
189	4332	7068
190	4359	7053
191	4391	7044
192	4420	7032
193	4450	7019
194	4469	6990
195	4488	6962
196	4506	6931
197	4526	6904
198	4549	6882
199	4571	6856
200	4595	6836
201	4613	6805
202	4633	6779
203	4654	6753
204	4675	6727
205	4703	6712
206	4734	6702
207	4769	6695
208	4801	6686
209	4830	6670
210	4867	6666
211	4900	6657
212	4924	6636
213	4948	6613
214	4974	6593
215	4999	6572
216	5019	6546
217	5041	6522
218	5066	6500
219	5086	6473
220	5113	6455
221	5132	6427
222	5153	6401
223	5174	6375
224	5195	6350
225	5224	6334
226	5263	6329
227	5289	6310
228	5313	6288
229	5333	6261
230	5354	6235
231	5373	6207
232	5391	6178
233	5409	6149
234	5428	6121
235	5446	6092
236	5467	6067
237	5489	6042
238	5518	6025
239	5543	6005
240	5562	5978
241	5588	5957
242	5608	5931
243	5630	5907
244	5648	5879
245	5669	5853
246	5693	5831
247	5717	5809
248	5744	5791
249	5770	5770
250	5790	5744
251	5811	5719
252	5834	5696
253	5859	5675
254	5881	5650
255	5903	5627
256	5929	5606
257	5950	5581
258	5969	5555
259	5989	5529
260	6007	5501
261	6028	5476
262	6049	5451
263	6069	5425
264	6090	5400
265	6109	5374
266	6128	5348
267	6153	5326
268	6171	5299
269	6189	5272
270	6209	5247
271	6230	5222
272	6250	5197
273	6268	5170
274	6286	5143
275	6305	5117
276	6324	5091
277	6341	5064
278	6358	5036
279	6384	5016
280	6403	4990
281	6427	4968
282	6446	4942
283	6463	4915
284	6479	4888
285	6498	4862
286	6516	4836
287	6534	4810
288	6553	4784
289	6575	4761
290	6602	4742
291	6632	4724
292	6658	4704
293	6687	4685
294	6719	4669
295	6747	4650
296	6770	4627
297	6794	4605
298	6817	4582
299	6839	4559
300	6864	4538
301	6891	4518
302	6930	4506
303	6954	4483
304	6975	4459
305	6993	4433
306	7011	4408
307	7032	4383
308	7053	4360
309	7077	4338
310	7100	4314
311	7123	4292
312	7148	4270
313	7172	4248
314	7203	4230
315	7228	4209
316	7251	4186
317	7278	4165
318	7303	4144
319	7329	4123
320	7348	4097
321	7370	4074
322	7393	4051
323	7418	4029
324	7438	4005
325	7465	3984
326	7490	3962
327	7513	3939
328	7533	3915
329	7555	3892
330	7575	3867
331	7592	3842
332	7611	3816
333	7631	3792
334	7651	3768
335	7672	3744
336	7693	3721
337	7726	3703
338	7746	3679
339	7767	3655
340	7787	3631
341	7806	3606
342	7827	3582
343	7851	3560
344	7884	3542
345	7903	3517
346	7924	3494
347	7947	3471
348	7970	3448
349	7992	3425
350	8011	3400
351	8031	3376
352	8052	3353
353	8070	3328
354	8090	3304
355	8112	3281
356	8130	3256
357	8151	3233
358	8171	3209
359	8193	3186
360	8214	3162
361	8236	3140
362	8260	3117
363	8279	3093
364	8296	3068
365	8315	3044
366	8335	3020
367	8355	2997
368	8375	2973
369	8399	2951
370	8424	2929
371	8446	2906
372	8471	2884
373	8501	2864
374	8534	2844
375	8569	2826
376	8595	2804
377	8616	2781
378	8638	2757
379	8657	2734
380	8677	2710
381	8694	2685
382	8712	2661
383	8731	2637
384	8753	2614
385	8774	2591
386	8802	2570
387	8825	2547
388	8846	2524
389	8867	2501
390	8890	2478
391	8960	2468
392	8994	2448
393	9012	2424
394	9029	2400
395	9046	2375
396	9067	2352
397	9083	2327
398	9099	2303
399	9116	2279
400	9134	2255
401	9150	2230
402	9167	2206
403	9185	2182
404	9204	2158
405	9223	2135
406	9249	2113
407	9282	2093
408	9316	2072
409	9342	2050
410	9363	2027
411	9387	2005
412	9407	1981
413	9428	1958
414	9449	1935
415	9470	1912
416	9487	1888
417	9506	1864
418	9527	1841
419	9549	1818
420	9568	1795
421	9587	1772
422	9613	1749
423	9644	1728
424	9672	1706
425	9696	1684
426	9719	1661
427	9741	1638
428	9759	1615
429	9777	1591
430	9796	1568
431	9814	1544
432	9834	1521
433	9852	1498
434	9872	1475
435	9889	1451
436	9909	1428
437	9928	1405
438	9948	1382
439	9967	1359
440	9989	1336
441	10010	1313
442	10031	1290
443	10049	1267
444	10066	1244
445	10089	1221
446	10116	1199
447	10142	1177
448	10173	1155
449	10203	1133
450	10228	1111
451	10256	1089
452	10287	1067
453	10320	1045
454	10356	1024
455	10390	1002
456	10419	980
457	10437	957
458	10454	933
459	10472	910
460	10489	887
461	10507	864
462	10526	841
463	10547	818
464	10568	795
465	10596	773
466	10627	750
467	10656	728
468	10683	706
469	10714	683
