Floor,count
1 out of 2,379
Ground out of 2,350
2 out of 3,312
2 out of 4,308
1 out of 3,293
3 out of 4,239
Ground out of 3,209
1 out of 4,200
Ground out of 1,195
1 out of 1,134
2 out of 2,132
Ground out of 4,115
2 out of 5,106
3 out of 3,96
1 out of 5,87
4 out of 5,86
3 out of 5,84
4 out of 4,73
3 out of 7,32
5 out of 7,32
Ground out of 5,29
5 out of 5,28
4 out of 7,27
6 out of 7,24
2 out of 7,23
3 out of 6,21
2 out of 6,18
1 out of 7,18
1 out of 6,17
5 out of 6,16
4 out of 6,16
5 out of 8,16
4 out of 8,15
6 out of 10,15
2 out of 8,14
5 out of 14,13
7 out of 10,12
6 out of 8,11
1 out of 8,11
10 out of 14,10
5 out of 12,10
4 out of 10,9
2 out of 12,9
5 out of 20,9
6 out of 12,8
8 out of 10,8
12 out of 20,8
7 out of 7,8
4 out of 12,8
7 out of 8,8
9 out of 20,7
9 out of 22,7
10 out of 20,7
5 out of 9,7
7 out of 12,7
8 out of 16,7
7 out of 14,7
3 out of 8,7
5 out of 17,7
4 out of 9,7
10 out of 12,7
Ground out of 6,7
9 out of 12,6
4 out of 15,6
15 out of 20,6
8 out of 13,6
9 out of 15,6
6 out of 11,6
9 out of 10,6
Lower Basement out of 2,5
10 out of 18,5
8 out of 12,5
12 out of 24,5
5 out of 10,5
8 out of 9,5
14 out of 14,5
3 out of 9,5
17 out of 22,5
15 out of 18,5
10 out of 22,5
4 out of 11,5
11 out of 13,5
8 out of 20,5
12 out of 13,5
Ground out of 12,4
3 out of 17,4
2 out of 14,4
11 out of 14,4
11 out of 19,4
14 out of 23,4
1 out of 10,4
11 out of 15,4
8 out of 18,4
6 out of 15,4
8 out of 14,4
10 out of 13,4
18 out of 22,4
Ground out of 7,4
7 out of 9,4
7 out of 11,4
13 out of 14,4
14 out of 18,4
12 out of 19,4
10 out of 16,4
15 out of 19,4
9 out of 19,4
10 out of 23,4
6 out of 16,4
4 out of 14,4
Lower Basement out of 1,3
2 out of 16,3
1 out of 9,3
9 out of 16,3
6 out of 24,3
Upper Basement out of 4,3
5 out of 18,3
7 out of 15,3
14 out of 22,3
7 out of 18,3
10 out of 10,3
11 out of 21,3
2 out of 13,3
3 out of 10,3
8 out of 22,3
9 out of 11,3
18 out of 23,3
5 out of 13,3
10 out of 11,3
12 out of 16,3
17 out of 20,3
12 out of 21,3
4 out of 13,3
3 out of 12,3
15 out of 15,3
6 out of 14,3
23 out of 23,3
6 out of 18,3
2 out of 9,3
12 out of 17,3
11 out of 18,3
9 out of 18,3
5 out of 15,3
14 out of 20,3
5 out of 22,3
Ground out of 8,3
18 out of 19,3
9 out of 21,3
Upper Basement out of 16,3
12 out of 18,3
8 out of 17,3
3 out of 14,3
10 out of 15,3
9 out of 9,2
9 out of 13,2
Upper Basement out of 10,2
7 out of 23,2
8 out of 15,2
17 out of 24,2
8 out of 19,2
Ground out of 16,2
13 out of 18,2
18 out of 24,2
17 out of 31,2
7 out of 19,2
7 out of 22,2
11 out of 20,2
1 out of 12,2
13 out of 21,2
14 out of 30,2
Lower Basement out of 3,2
9 out of 17,2
20 out of 22,2
1 out of 14,2
25 out of 35,2
Upper Basement out of 2,2
3 out of 13,2
7 out of 16,2
11 out of 25,2
25 out of 50,2
6 out of 30,2
7 out of 17,2
7 out of 21,2
10 out of 19,2
65 out of 76,2
10 out of 24,2
14 out of 21,2
6 out of 13,2
18 out of 20,2
15 out of 60,2
20 out of 27,2
5 out of 11,2
12 out of 14,2
Upper Basement out of 30,2
19 out of 19,2
19 out of 20,2
28 out of 30,2
3 out of 11,2
16 out of 32,2
Upper Basement out of 22,2
16 out of 18,2
2 out of 10,2
4 out of 22,2
15 out of 17,2
4 out of 20,2
5 out of 16,2
15 out of 16,2
21 out of 22,2
11 out of 27,2
16 out of 23,2
16 out of 21,2
10 out of 32,2
16 out of 36,2
8 out of 11,2
23 out of 25,2
12 out of 22,2
6 out of 20,2
15 out of 28,2
15 out of 23,2
11 out of 24,2
4 out of 16,2
19 out of 30,2
16 out of 22,2
Upper Basement out of 7,2
11 out of 12,2
25 out of 43,2
15 out of 24,2
30 out of 45,2
9 out of 31,2
17 out of 36,2
8 out of 8,2
15 out of 22,2
Upper Basement out of 9,2
10 out of 31,2
10 out of 25,2
18 out of 32,2
14 out of 17,2
Upper Basement out of 3,2
Ground out of 14,2
1,2
23 out of 35,1
Ground out of 10,1
5 out of 34,1
20 out of 35,1
4 out of 31,1
4 out of 26,1
24 out of 33,1
4 out of 17,1
1 out of 35,1
11 out of 35,1
Ground out of 15,1
Ground out of 27,1
15 out of 30,1
12 out of 30,1
23 out of 34,1
1 out of 15,1
2 out of 11,1
19 out of 31,1
1 out of 16,1
25 out of 32,1
11 out of 16,1
11 out of 17,1
4 out of 24,1
1 out of 19,1
7 out of 30,1
16 out of 19,1
Upper Basement out of 5,1
Ground out of 13,1
2 out of 25,1
46 out of 76,1
20 out of 30,1
17 out of 29,1
13 out of 16,1
18 out of 21,1
19 out of 24,1
3 out of 21,1
1 out of 22,1
4 out of 58,1
19 out of 21,1
9 out of 40,1
44 out of 75,1
12 out of 31,1
26 out of 42,1
2 out of 45,1
12 out of 68,1
10 out of 28,1
41 out of 41,1
14 out of 68,1
60 out of 66,1
34 out of 48,1
14 out of 40,1
27 out of 58,1
19 out of 25,1
3 out of 15,1
45 out of 77,1
12 out of 29,1
Lower Basement out of 18,1
35 out of 55,1
16 out of 29,1
16 out of 25,1
33 out of 42,1
13 out of 23,1
9 out of 38,1
22 out of 30,1
3 out of 58,1
53 out of 60,1
48 out of 68,1
12 out of 42,1
35 out of 68,1
18 out of 30,1
11 out of 31,1
50 out of 75,1
18 out of 26,1
12 out of 27,1
16 out of 20,1
24 out of 55,1
16 out of 37,1
11 out of 23,1
39 out of 60,1
32 out of 41,1
18 out of 45,1
1 out of 20,1
30 out of 44,1
30 out of 37,1
2 out of 22,1
14 out of 15,1
14 out of 48,1
29 out of 35,1
15 out of 36,1
15 out of 25,1
3 out of 36,1
40 out of 50,1
25 out of 28,1
34 out of 40,1
8 out of 23,1
5 out of 21,1
32 out of 59,1
20 out of 32,1
10 out of 37,1
25 out of 48,1
11 out of 11,1
5 out of 23,1
60 out of 77,1
3 out of 28,1
5 out of 24,1
7 out of 13,1
15 out of 32,1
18 out of 27,1
26 out of 44,1
25 out of 42,1
25 out of 41,1
53 out of 78,1
13 out of 20,1
30 out of 58,1
15 out of 43,1
18 out of 28,1
9 out of 55,1
49 out of 55,1
7 out of 27,1
14 out of 27,1
16 out of 27,1
21 out of 23,1
8 out of 58,1
20 out of 41,1
3 out of 62,1
28 out of 39,1
15 out of 58,1
6 out of 23,1
36 out of 45,1
9 out of 28,1
6 out of 45,1
22 out of 52,1
21 out of 58,1
48 out of 54,1
7 out of 28,1
17 out of 25,1
9 out of 14,1
8 out of 27,1
9 out of 30,1
11 out of 26,1
17 out of 27,1
17 out of 60,1
18 out of 25,1
19 out of 22,1
15 out of 37,1
2 out of 17,1
76 out of 78,1
8 out of 36,1
14 out of 33,1
21 out of 21,1
12 out of 25,1
18 out of 29,1
14 out of 35,1
7 out of 20,1
20 out of 37,1
9 out of 35,1
27 out of 27,1
19 out of 33,1
13 out of 40,1
20 out of 31,1
27 out of 45,1
32 out of 46,1
19 out of 85,1
3 out of 23,1
34 out of 46,1
4 out of 27,1
19 out of 27,1
13 out of 15,1
6 out of 21,1
5 out of 19,1
17 out of 42,1
8 out of 28,1
11 out of 22,1
16 out of 31,1
11 out of 51,1
22 out of 24,1
35 out of 60,1
21 out of 33,1
25 out of 52,1
2 out of 24,1
24 out of 24,1
18 out of 33,1
45 out of 60,1
60 out of 71,1
36 out of 81,1
24 out of 60,1
16 out of 38,1
8 out of 45,1
43 out of 78,1
8 out of 32,1
23 out of 40,1
6 out of 17,1
16 out of 34,1
6 out of 9,1
Ground out of 18,1
20 out of 25,1
3 out of 22,1
9 out of 32,1
11 out of 28,1
37 out of 51,1
17 out of 43,1
3 out of 18,1
14 out of 58,1
3 out of 30,1
9 out of 29,1
47 out of 89,1
7 out of 41,1
26 out of 32,1
17 out of 18,1
24 out of 25,1
19 out of 26,1
17 out of 19,1
1 out of 13,1
12 out of 23,1
Ground out of 9,1
1 out of 24,1
3,1
Ground,1
15 out of 29,1
20 out of 20,1
18 out of 40,1
12 out of 45,1
Upper Basement out of 20,1
Upper Basement out of 40,1
34 out of 58,1
65 out of 78,1
40 out of 75,1
19 out of 38,1
15 out of 31,1
14 out of 29,1
8 out of 5,1
2 out of 1,1
13 out of 17,1
24 out of 31,1
2 out of 32,1
1 out of 11,1
6 out of 29,1
28 out of 31,1
23 out of 30,1
4 out of 30,1
13 out of 25,1
